locus_tag	product	type	gene_symbol	locus	start_coord	end_coord	note	gene_len	5GB1C_CH4_500ppm-Rep1_tpm	5GB1C_CH4_500ppm-Rep2_tpm	5GB1C_CH4_1000ppm-Rep1_tpm	5GB1C_CH4_1000ppm-Rep2_tpm
EQU24_RS00090	thymidylate synthase	CDS	thyA	NZ_CP035467.1	22412	23246	Derived by automated computational analysis using gene prediction method: Protein Homology.	835	70.68323540710388	61.6201132228179	51.428627462018	58.20474731773359
EQU24_RS00095	nucleoside triphosphate pyrophosphohydrolase family protein	CDS		NZ_CP035467.1	23251	23782	Derived by automated computational analysis using gene prediction method: Protein Homology.	532	115.15940689810056	93.25623306312868	77.54425167333544	86.96097557776667
EQU24_RS00100	YchJ family protein	CDS		NZ_CP035467.1	23841	24321	Derived by automated computational analysis using gene prediction method: Protein Homology.	481	33.480331705948906	25.93731249470723	29.60650260718487	29.93561500038146
EQU24_RS00105	cAMP-activated global transcriptional regulator CRP	CDS	crp	NZ_CP035467.1	24340	24994	Derived by automated computational analysis using gene prediction method: Protein Homology.	655	17.329913303734003	15.280063752649609	16.220312200499183	19.112498917684047
EQU24_RS00110	OsmC family protein	CDS		NZ_CP035467.1	25137	25554	Derived by automated computational analysis using gene prediction method: Protein Homology.	418	48.55790896617033	47.330203147811474	52.1540924741557	60.46539255911555
EQU24_RS00115	adenosylmethionine decarboxylase	CDS	speD	NZ_CP035467.1	25557	26349	Derived by automated computational analysis using gene prediction method: Protein Homology.	793	95.3032471065564	95.60890871436725	111.22210624692136	133.77288149372004
EQU24_RS00125	autotransporter outer membrane beta-barrel domain-containing protein	CDS		NZ_CP035467.1	29783	31106	Derived by automated computational analysis using gene prediction method: Protein Homology.	1324	427.0263760261621	497.6317621795257	482.27504563822185	481.6830217802903
EQU24_RS00130	hypothetical protein	CDS		NZ_CP035467.1	32310	32679	Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.	370	67.11475698878711	70.25697370470499	47.287453016650026	54.09823469386584
EQU24_RS00135	DUF2807 domain-containing protein	CDS		NZ_CP035467.1	32679	33453	Derived by automated computational analysis using gene prediction method: Protein Homology.	775	41.65913072892515	42.769711130899104	37.341774655892806	39.187221928593466
EQU24_RS00140	OmpA family protein	CDS		NZ_CP035467.1	33495	34086	Derived by automated computational analysis using gene prediction method: Protein Homology.	592	29.41786467886724	29.42502451672076	26.62930623845193	27.75647832020664
EQU24_RS00145	hypothetical protein	CDS		NZ_CP035467.1	34142	34445	Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.	304	9.03640862081119	8.956100007145855	6.101653098794452	6.776014501262815
EQU24_RS00150	DUF4384 domain-containing protein	CDS		NZ_CP035467.1	34455	35997	Derived by automated computational analysis using gene prediction method: Protein Homology.	1543	13.077118310677148	14.664670556094626	12.9044401077268	14.063633467462196
EQU24_RS00155	hypothetical protein	CDS		NZ_CP035467.1	36035	36347	Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.	313	37.75583545274973	40.20230194900935	31.74656458792124	36.13152780385827
EQU24_RS00160	hypothetical protein	CDS		NZ_CP035467.1	36419	36716	Derived by automated computational analysis using gene prediction method: Protein Homology.	298	1132.1698853473265	1252.4715157644173	787.9910189238558	830.0845147083905
EQU24_RS00165	hypothetical protein	CDS		NZ_CP035467.1	36832	37129	Derived by automated computational analysis using gene prediction method: Protein Homology.	298	14.52324910919788	18.22776729642269	13.00451538768447	15.939550890554475
EQU24_RS00170	caspase family protein	CDS		NZ_CP035467.1	38627	39929	Derived by automated computational analysis using gene prediction method: Protein Homology.	1303	9.773594489241464	9.055764972689689	9.075621092858004	10.2992300228327
EQU24_RS00175	hypothetical protein	CDS		NZ_CP035467.1	39992	40271	Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.	280	10.347783931173655	12.570526081458288	11.293743002737555	12.475126697860649
EQU24_RS00180	ISAzo13 family transposase	CDS		NZ_CP035467.1	40588	41767	Derived by automated computational analysis using gene prediction method: Protein Homology.	1180	31.972992610599515	30.91372485517379	23.079266783708302	28.20372476521383
EQU24_RS00185	hypothetical protein	CDS		NZ_CP035467.1	42145	42478	Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.	334	11.964690985087618	11.503493721753207	11.297827867385092	12.983979882659286
EQU24_RS00190	hypothetical protein	CDS		NZ_CP035467.1	42656	42884	Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.	229	21.049463996669196	17.012679052875313	32.641005830953574	27.399953834800726
EQU24_RS00195	DUF4338 domain-containing protein	CDS		NZ_CP035467.1	42874	43942	Derived by automated computational analysis using gene prediction method: Protein Homology.	1069	14.967611411446107	14.204927560445087	15.036863568640072	24.048829764070277
EQU24_RS00205	IS66 family transposase	CDS		NZ_CP035467.1	44526	46107	Derived by automated computational analysis using gene prediction method: Protein Homology.	1582	8.862461580833264	8.752294950093232	8.690487280600331	10.142605776858629
EQU24_RS00210	DUF3800 domain-containing protein	CDS		NZ_CP035467.1	46177	47107	Derived by automated computational analysis using gene prediction method: Protein Homology.	931	27.44117556687153	26.661472792486293	19.54535045778308	22.777161527069797
EQU24_RS00215	type II toxin-antitoxin system HicB family antitoxin	CDS		NZ_CP035467.1	47306	47516	Derived by automated computational analysis using gene prediction method: Protein Homology.	211	31.22170892017805	31.13412016702125	26.69488946911268	31.16645532452873
EQU24_RS00225	HAD hydrolase-like protein	CDS		NZ_CP035467.1	48209	48518	Derived by automated computational analysis using gene prediction method: Protein Homology.	310	141.0652135013411	126.9599402625886	119.83543993413532	141.12689557226892
EQU24_RS00230	hypothetical protein	CDS		NZ_CP035467.1	48728	48950	Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.	223	73.51702159369017	61.467762605097455	60.26230052106293	60.285259060562446
EQU24_RS00245	cation diffusion facilitator family transporter	CDS		NZ_CP035467.1	49501	50443	Derived by automated computational analysis using gene prediction method: Protein Homology.	943	20.10599562099664	16.9767007028348	14.696406375629223	19.75319603814579
EQU24_RS00250	hypothetical protein	CDS		NZ_CP035467.1	50778	51069	Derived by automated computational analysis using gene prediction method: Protein Homology.	292	38.71385234818247	31.48437211416172	56.997216915718994	31.14182007087226
EQU24_RS00255	hypothetical protein	CDS		NZ_CP035467.1	51191	51482	Derived by automated computational analysis using gene prediction method: Protein Homology.	292	75.65265415311954	62.53934217318631	103.32471763247402	60.41559504807446
EQU24_RS00260	hypothetical protein	CDS		NZ_CP035467.1	51603	51894	Derived by automated computational analysis using gene prediction method: Protein Homology.	292	116.90482877814296	95.2199057266586	145.32037171804205	92.53204734173109
EQU24_RS00265	glucosidase	CDS		NZ_CP035467.1	52448	55124	Derived by automated computational analysis using gene prediction method: Protein Homology.	2677	20.422801920076825	19.201918562201584	21.3293758386209	22.61118324235365
EQU24_RS00270	Crp/Fnr family transcriptional regulator	CDS		NZ_CP035467.1	55437	56103	Derived by automated computational analysis using gene prediction method: Protein Homology.	667	30.6792603757422	29.79548113321837	25.2450378389076	29.267912710851828
EQU24_RS00275	hypothetical protein	CDS		NZ_CP035467.1	57142	57871	Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.	730	28.386608287580657	26.58612152806174	28.886730286895386	30.445654197454846
EQU24_RS00280	adenylate/guanylate cyclase domain-containing protein	CDS		NZ_CP035467.1	57870	60009	Derived by automated computational analysis using gene prediction method: Protein Homology.	2140	13.771671577368592	13.67270033801192	13.06512440853606	14.782160607077314
EQU24_RS00285	serine/threonine-protein kinase	CDS		NZ_CP035467.1	60055	61690	Derived by automated computational analysis using gene prediction method: Protein Homology.	1636	28.05426153819032	27.58270775428141	25.60268428995585	29.4276179898975
EQU24_RS00290	hypothetical protein	CDS		NZ_CP035467.1	61695	62178	Derived by automated computational analysis using gene prediction method: Protein Homology.	484	26.676075697138494	26.81278700486435	24.86264683446967	30.10006441676664
EQU24_RS00300	AAA family ATPase	CDS		NZ_CP035467.1	62674	67795	Derived by automated computational analysis using gene prediction method: Protein Homology.	5122	15.294434326236754	14.755183504549064	12.13804565988725	13.715410062835266
EQU24_RS00305	response regulator	CDS		NZ_CP035467.1	67787	68192	Derived by automated computational analysis using gene prediction method: Protein Homology.	406	20.987917812410696	21.52993499254767	18.086716403365863	21.471287329740424
EQU24_RS00310	EAL domain-containing protein	CDS		NZ_CP035467.1	68188	70348	Derived by automated computational analysis using gene prediction method: Protein Homology.	2161	34.543124265412175	33.8495820492197	28.300140546021115	34.29710625396237
EQU24_RS00315	CPBP family intramembrane metalloprotease	CDS		NZ_CP035467.1	70371	70962	Derived by automated computational analysis using gene prediction method: Protein Homology.	592	34.57474631453771	35.51426480874138	27.31045435171336	32.76981337350582
EQU24_RS00320	YcgL domain-containing protein	CDS		NZ_CP035467.1	71048	71306	Derived by automated computational analysis using gene prediction method: Protein Homology.	259	73.06437002894168	75.93666260885057	60.47366106308955	64.64684105258848
EQU24_RS00330	flippase	CDS		NZ_CP035467.1	72060	73314	Derived by automated computational analysis using gene prediction method: Protein Homology.	1255	30.84282563690336	31.44269054301565	23.269356421801263	27.53869479178565
EQU24_RS00335	sulfotransferase domain-containing protein	CDS		NZ_CP035467.1	73303	74293	Derived by automated computational analysis using gene prediction method: Protein Homology.	991	24.22114679318564	26.380278426699043	18.46049215517332	21.10410570953348
EQU24_RS00340	sulfotransferase domain-containing protein	CDS		NZ_CP035467.1	74297	75077	Derived by automated computational analysis using gene prediction method: Protein Homology.	781	25.464452354088788	26.55294438738313	21.95141289631424	25.45994181044268
EQU24_RS00345	sulfotransferase	CDS		NZ_CP035467.1	75073	75976	Derived by automated computational analysis using gene prediction method: Protein Homology.	904	23.845919039075675	26.34321893694782	20.99776272243847	24.356923807360086
EQU24_RS00350	methyltransferase domain-containing protein	CDS		NZ_CP035467.1	76045	76867	Derived by automated computational analysis using gene prediction method: Protein Homology.	823	37.264500933169735	37.06497767234361	31.23901976387384	37.04166371953998
EQU24_RS00355	glycosyltransferase family 4 protein	CDS		NZ_CP035467.1	76863	78102	Derived by automated computational analysis using gene prediction method: Protein Homology.	1240	46.91584557126504	47.56122463472215	46.5368717408755	55.22998271311555
EQU24_RS00360	glycosyltransferase	CDS		NZ_CP035467.1	78212	78953	Derived by automated computational analysis using gene prediction method: Protein Homology.	742	18.99323219283841	18.582096982481197	15.78292361380419	17.9993592749178
EQU24_RS00365	glycosyltransferase family 2 protein	CDS		NZ_CP035467.1	78954	79881	Derived by automated computational analysis using gene prediction method: Protein Homology.	928	47.949700461405904	48.66501539443208	43.39309066586429	51.78758927823978
EQU24_RS00370	hypothetical protein	CDS		NZ_CP035467.1	80036	80228	Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.	193	67.56890843042459	55.7087982309772	56.829634087983294	56.24443124882399
EQU24_RS00375	glycosyltransferase family 4 protein	CDS		NZ_CP035467.1	80237	81347	Derived by automated computational analysis using gene prediction method: Protein Homology.	1111	42.83677870134277	42.86997285148664	39.35545952063971	46.17570278043274
EQU24_RS00380	SDR family oxidoreductase	CDS		NZ_CP035467.1	81343	82288	Derived by automated computational analysis using gene prediction method: Protein Homology.	946	35.73961068211661	37.70366625629849	33.84485289030724	36.83472999232984
EQU24_RS00390	glycosyltransferase family 4 protein	CDS		NZ_CP035467.1	83141	83930	Derived by automated computational analysis using gene prediction method: Protein Homology.	790	25.994469287123948	29.662829960376115	27.831866198573703	33.73425953603374
EQU24_RS00395	ATP-binding protein	CDS		NZ_CP035467.1	83997	85554	Derived by automated computational analysis using gene prediction method: Protein Homology.	1558	23.81985668661137	22.792642187633707	21.953282656733023	25.73841708502782
EQU24_RS00400	polysaccharide biosynthesis protein	CDS		NZ_CP035467.1	85681	87679	Derived by automated computational analysis using gene prediction method: Protein Homology.	1999	23.99960683270449	24.69535929934365	22.053381154604843	24.20925241021462
EQU24_RS00405	LysR family transcriptional regulator	CDS		NZ_CP035467.1	88239	89145	Derived by automated computational analysis using gene prediction method: Protein Homology.	907	70.23250698493882	68.7111597571383	63.51966828814504	70.68122733897188
EQU24_RS00410	methyltransferase domain-containing protein	CDS		NZ_CP035467.1	89131	89719	Derived by automated computational analysis using gene prediction method: Protein Homology.	589	179.9493802916305	174.76559496117298	160.03473579677083	183.8899894659346
EQU24_RS00415	rhodanese-like domain-containing protein	CDS		NZ_CP035467.1	89828	90221	Derived by automated computational analysis using gene prediction method: Protein Homology.	394	150.96903984799582	148.8553829867884	169.78512970558475	188.791114689372
EQU24_RS00420	translational GTPase TypA	CDS	typA	NZ_CP035467.1	90322	92143	Derived by automated computational analysis using gene prediction method: Protein Homology.	1822	175.9482317295325	178.60586924239553	199.07120085718884	225.2987631689089
EQU24_RS00425	imidazoleglycerol-phosphate dehydratase HisB	CDS	hisB	NZ_CP035467.1	92433	93027	Derived by automated computational analysis using gene prediction method: Protein Homology.	595	107.82689213938129	100.95556764357522	110.05357966252338	131.05609223618907
EQU24_RS00430	imidazole glycerol phosphate synthase subunit HisH	CDS	hisH	NZ_CP035467.1	93040	93691	Derived by automated computational analysis using gene prediction method: Protein Homology.	652	130.59624010330077	127.63129327668057	128.73853297269702	152.8240693881437
EQU24_RS00435	1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase	CDS	hisA	NZ_CP035467.1	93739	94477	Derived by automated computational analysis using gene prediction method: Protein Homology.	739	114.33083735303788	114.56900056502482	132.0889251637122	141.70947783087524
EQU24_RS00440	imidazole glycerol phosphate synthase subunit HisF	CDS	hisF	NZ_CP035467.1	94480	95257	Derived by automated computational analysis using gene prediction method: Protein Homology.	778	76.00839435967842	74.23893180730543	86.30562232688449	94.02373335267704
EQU24_RS00445	phosphoribosyl-AMP cyclohydrolase	CDS	hisI	NZ_CP035467.1	95253	95643	Derived by automated computational analysis using gene prediction method: Protein Homology.	391	58.40651730213487	59.6462517099944	59.65276775781255	67.04961663781543
EQU24_RS00450	phosphoribosyl-ATP diphosphatase	CDS		NZ_CP035467.1	95639	95957	Derived by automated computational analysis using gene prediction method: Protein Homology.	319	61.970297473539134	63.67534425143198	55.79224520811261	67.72828287547487
EQU24_RS00455	twin-arginine translocase TatA/TatE family subunit	CDS	tatA	NZ_CP035467.1	96158	96371	Derived by automated computational analysis using gene prediction method: Protein Homology.	214	86.9993744388111	97.61730498442856	81.63967218086296	97.46061978919134
EQU24_RS00460	Sec-independent protein translocase protein TatB	CDS	tatB	NZ_CP035467.1	96374	96680	Derived by automated computational analysis using gene prediction method: Protein Homology.	307	81.54593759516618	75.16414224238207	72.31076778177592	78.48699533058817
EQU24_RS00465	twin-arginine translocase subunit TatC	CDS	tatC	NZ_CP035467.1	96685	97474	Derived by automated computational analysis using gene prediction method: Protein Homology.	790	55.35470403217182	52.73329010536576	50.64002681883343	60.98841912813828
EQU24_RS00470	GDSL-type esterase/lipase family protein	CDS		NZ_CP035467.1	97499	98117	Derived by automated computational analysis using gene prediction method: Protein Homology.	619	30.094075000126217	28.47432118588537	25.570627975449334	29.079939454934845
EQU24_RS00475	pteridine reductase	CDS		NZ_CP035467.1	98135	98867	Derived by automated computational analysis using gene prediction method: Protein Homology.	733	27.436033608121743	24.85226113851933	21.941195649879287	23.628230648332547
EQU24_RS00480	hypothetical protein	CDS		NZ_CP035467.1	98898	99732	Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.	835	64.33931105599646	64.25331388360149	59.61288072028121	65.43925860860281
EQU24_RS00485	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase	CDS	folK	NZ_CP035467.1	101212	101728	Derived by automated computational analysis using gene prediction method: Protein Homology.	517	56.70383510247677	53.25155013919992	47.56118261046676	57.77961301512016
EQU24_RS00490	dihydroneopterin aldolase	CDS	folB	NZ_CP035467.1	101731	102085	Derived by automated computational analysis using gene prediction method: Protein Homology.	355	93.54486362049076	92.48750035548368	83.3023238492119	95.98081385802836
EQU24_RS00495	glycerol-3-phosphate 1-O-acyltransferase PlsY	CDS	plsY	NZ_CP035467.1	102221	102797	Derived by automated computational analysis using gene prediction method: Protein Homology.	577	57.11343562139805	59.8444429420292	47.46333001994943	54.75418996904312
EQU24_RS00500	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	CDS	tsaD	NZ_CP035467.1	102961	103972	Derived by automated computational analysis using gene prediction method: Protein Homology.	1012	82.50013964401542	79.14024141689903	74.97724749548007	85.14879092150122
EQU24_RS00505	30S ribosomal protein S21	CDS	rpsU	NZ_CP035467.1	104077	104311	Derived by automated computational analysis using gene prediction method: Protein Homology.	235	194.4452303004876	192.15598398310385	151.30745016422168	185.44654155264595
EQU24_RS00510	GatB/YqeY domain-containing protein	CDS		NZ_CP035467.1	104333	104783	Derived by automated computational analysis using gene prediction method: Protein Homology.	451	99.98533037828489	91.85463543914224	85.13726625924167	100.13777527919436
EQU24_RS00515	DNA primase	CDS	dnaG	NZ_CP035467.1	104824	106549	Derived by automated computational analysis using gene prediction method: Protein Homology.	1726	62.3629350661682	63.76162044484837	53.80054001403647	60.16951694878594
EQU24_RS00520	RNA polymerase sigma factor RpoD	CDS	rpoD	NZ_CP035467.1	106636	108448	Derived by automated computational analysis using gene prediction method: Protein Homology.	1813	162.30427731279406	168.47644277093735	148.40278566806262	171.5830390173605
EQU24_RS00525	tRNA-Ile	tRNA			108456	108533		78	11.296603713679788	14.639778857834571	10.39389736338676	10.98930556935572
EQU24_RS00530	methionine adenosyltransferase	CDS	metK	NZ_CP035467.1	108596	109757	Derived by automated computational analysis using gene prediction method: Protein Homology.	1162	263.84540694995496	265.4420018899309	283.46591760505777	329.7679828407173
EQU24_RS00535	adenosylhomocysteinase	CDS	ahcY	NZ_CP035467.1	109776	111069	Derived by automated computational analysis using gene prediction method: Protein Homology.	1294	141.97578531342688	146.2668171955281	162.25698301558637	174.37240717527135
EQU24_RS00540	methylenetetrahydrofolate reductase [NAD(P)H]	CDS	metF	NZ_CP035467.1	111129	111981	Derived by automated computational analysis using gene prediction method: Protein Homology.	853	79.1022453436681	80.61539959538791	79.01079394681345	88.36224771957436
EQU24_RS00545	16S rRNA (uracil(1498)-N(3))-methyltransferase	CDS		NZ_CP035467.1	112072	112816	Derived by automated computational analysis using gene prediction method: Protein Homology.	745	12.59261359887337	12.64673450673482	10.665696738552173	12.73345006948717
EQU24_RS00550	CPBP family intramembrane metalloprotease	CDS		NZ_CP035467.1	112812	113688	Derived by automated computational analysis using gene prediction method: Protein Homology.	877	36.89077221612154	36.06438674485244	31.52737556733692	38.415443671925566
EQU24_RS00555	YajQ family cyclic di-GMP-binding protein	CDS		NZ_CP035467.1	113932	114415	Derived by automated computational analysis using gene prediction method: Protein Homology.	484	146.77731573865125	148.49731933335846	113.48241623916668	148.71531826376912
EQU24_RS00560	multifunctional CCA addition/repair protein	CDS		NZ_CP035467.1	114465	115713	Derived by automated computational analysis using gene prediction method: Protein Homology.	1249	50.34583388047062	53.47128723241524	53.33142595015495	62.90192164522955
EQU24_RS00565	sulfite exporter TauE/SafE family protein	CDS		NZ_CP035467.1	115805	116597	Derived by automated computational analysis using gene prediction method: Protein Homology.	793	26.26868871279406	27.704052102810568	21.485419629199782	24.42954030152634
EQU24_RS00570	IMP dehydrogenase	CDS	guaB	NZ_CP035467.1	116713	118180	Derived by automated computational analysis using gene prediction method: Protein Homology.	1468	126.31627251132964	127.58476934566602	121.56754075854234	133.2862361978645
EQU24_RS00575	glutamine-hydrolyzing GMP synthase	CDS	guaA	NZ_CP035467.1	118260	119850	Derived by automated computational analysis using gene prediction method: Protein Homology.	1591	21.08443191601647	21.63593361248592	22.429031826443293	24.538031143322257
EQU24_RS00580	tRNA adenosine(34) deaminase TadA	CDS	tadA	NZ_CP035467.1	119840	120305	Derived by automated computational analysis using gene prediction method: Protein Homology.	466	89.10342341987533	89.39763773227241	94.31090305641762	111.9714585128204
EQU24_RS00585	glucose-6-phosphate isomerase	CDS	pgi	NZ_CP035467.1	120316	121960	Derived by automated computational analysis using gene prediction method: Protein Homology.	1645	125.05722048590796	126.4552321069746	122.369148801788	149.8528994216964
EQU24_RS00590	hypothetical protein	CDS		NZ_CP035467.1	122491	123085	Derived by automated computational analysis using gene prediction method: Protein Homology.	595	1537.208328848261	1583.619108490422	1666.3269067966469	1772.263745740373
EQU24_RS00595	multicopper oxidase	CDS		NZ_CP035467.1	123576	124437	Derived by automated computational analysis using gene prediction method: Protein Homology.	862	518.5071724591699	555.0600123918249	500.79227019105787	573.1313425604083
EQU24_RS00600	DedA family protein	CDS		NZ_CP035467.1	124502	124934	Derived by automated computational analysis using gene prediction method: Protein Homology.	433	16.351454048161308	20.363234311859344	13.929830791664893	16.462741929165084
EQU24_RS00605	hypothetical protein	CDS		NZ_CP035467.1	124981	125764	Derived by automated computational analysis using gene prediction method: Protein Homology.	784	20.560700246581952	23.424085541648694	22.52793127247889	23.716050754419854
EQU24_RS00610	YceI family protein	CDS		NZ_CP035467.1	125949	126522	Derived by automated computational analysis using gene prediction method: Protein Homology.	574	117.93015239855836	129.7854352951903	122.4952383960371	143.83684440877488
EQU24_RS00620	lipid A export permease/ATP-binding protein MsbA	CDS	msbA	NZ_CP035467.1	127547	129323	Derived by automated computational analysis using gene prediction method: Protein Homology.	1777	71.16983742552011	74.60224665490881	60.29426342189604	70.93270779543663
EQU24_RS00625	16S ribosomal RNA	rRNA			129669	131204		1536	2336.054065580988	1863.9853985900932	2546.7548381450074	1298.9919778729468
EQU24_RS00630	tRNA-Ile	tRNA			131271	131348		78	3716.316819360328	3181.1952403587115	4324.514322898529	4433.250923441589
EQU24_RS00635	tRNA-Ala	tRNA			131419	131495		77	223.3465414450102	198.8370514573486	214.27103869013249	237.20450763836257
EQU24_RS00640	23S ribosomal RNA	rRNA			131811	134707		2897	6957.471222734834	5409.309734088136	5754.810415399043	4050.588964092222
EQU24_RS00645	5S ribosomal RNA	rRNA	rrf		134999	135115		117	19.09347529645485	13.05141069417409	13.894808691717728	12.770181175456845
EQU24_RS00650	ABC transporter permease	CDS		NZ_CP035467.1	135895	137032	Derived by automated computational analysis using gene prediction method: Protein Homology.	1138	40.44950238464197	40.09389410053125	32.24127111544541	37.64915614365975
EQU24_RS00655	ATP-binding cassette domain-containing protein	CDS		NZ_CP035467.1	137028	137811	Derived by automated computational analysis using gene prediction method: Protein Homology.	784	28.646146034868035	33.80242336880687	26.4423014503213	31.43846013819323
EQU24_RS00660	MlaD family protein	CDS		NZ_CP035467.1	137803	138718	Derived by automated computational analysis using gene prediction method: Protein Homology.	916	38.14366580686748	39.32470985670374	33.69289514435881	38.72166802058975
EQU24_RS00665	hypothetical protein	CDS		NZ_CP035467.1	138747	139266	Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.	520	75.99291768802473	70.24510361373918	62.60826657893438	75.35709973231319
EQU24_RS00670	hypothetical protein	CDS		NZ_CP035467.1	139733	140330	Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.	598	86.66604132973211	73.58828994165745	36.92400688664097	47.239472334054646
EQU24_RS00675	SCO family protein	CDS		NZ_CP035467.1	140348	142232	Derived by automated computational analysis using gene prediction method: Protein Homology.	1885	100.27534545163678	67.47958108832309	48.118546905552265	47.60644458751942
EQU24_RS00680	selenium-binding family protein	CDS		NZ_CP035467.1	142316	143624	Derived by automated computational analysis using gene prediction method: Protein Homology.	1309	541.4389617627681	307.2304925293182	234.0771420560933	198.5025424598359
EQU24_RS00685	DUF4242 domain-containing protein	CDS		NZ_CP035467.1	143798	144074	Derived by automated computational analysis using gene prediction method: Protein Homology.	277	748.7309296652425	434.6295102745781	268.7907003759623	267.51803099570446
EQU24_RS00690	TetR/AcrR family transcriptional regulator	CDS		NZ_CP035467.1	144127	144724	Derived by automated computational analysis using gene prediction method: Protein Homology.	598	388.8660810339465	236.8723707575566	143.0964972769477	155.2987738245109
EQU24_RS00695	hypothetical protein	CDS		NZ_CP035467.1	144978	145242	Derived by automated computational analysis using gene prediction method: GeneMarkS-2+.	265	35.890852154028586	31.56602794971407	30.513270951805563	33.11297652503904
EQU24_RS00700	YggS family pyridoxal phosphate-dependent enzyme	CDS		NZ_CP035467.1	145380	146064	Derived by automated computational analysis using gene prediction method: Protein Homology.	685	40.28478503552797	36.62195054016867	36.56576826250568	43.03511107699836
EQU24_RS00705	type IV pilus twitching motility protein PilT	CDS		NZ_CP035467.1	146177	147215	Derived by automated computational analysis using gene prediction method: Protein Homology.	1039	60.32206026299976	62.20136443846439	62.61541585653267	71.3372806757106
